"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Srsf1",0.160889123503422,0.465228190328845,0.124,0.226,1
"Lsm3",0.161110795316556,0.475017852515923,0.181,0.321,1
"Pcdh18",0.161240336692282,0.605276374658081,0.14,0.245,1
"Znfx1",0.161577918103847,-1.56418973236073,0.021,0.057,1
"Gm14325",0.161577918103847,3.32626916096195,0.036,0,1
"Igfbpl1",0.161577918103847,3.9000408338658,0.036,0,1
"Mtor",0.161577918103847,3.13591660007422,0.036,0,1
"Tyms",0.161577918103847,3.75835585029668,0.036,0,1
"Npy",0.161577918103847,3.48038476783191,0.036,0,1
"Slc5a5",0.161577918103847,3.68236779120159,0.036,0,1
"Lcat",0.161577918103847,3.29111060319701,0.036,0,1
"Adamts8",0.161577918103847,3.27186107107211,0.036,0,1
"AI593442",0.161577918103847,3.88876836838177,0.036,0,1
"Mtfmt",0.161577918103847,3.59716022476154,0.036,0,1
"Slc35g2",0.161577918103847,3.0976640639138,0.036,0,1
"Pgam2",0.161577918103847,3.29069928063159,0.036,0,1
"Ang",0.161577918103847,3.66318367904171,0.036,0,1
"Ttll1",0.161577918103847,2.94242953825286,0.036,0,1
"Rnd1",0.161577918103847,3.06044191568081,0.036,0,1
"Gpank1",0.161577918103847,3.01431311177278,0.036,0,1
"Prkce",0.161577918103847,3.99492065019763,0.036,0,1
"Rps6ka4",0.161577918103847,3.60463971470431,0.036,0,1
"Apba1",0.161577918103847,3.54315139092854,0.036,0,1
"Myl1",0.161577918103847,2.98870088173973,0.036,0,1
"Gm17762",0.161577918103847,3.16991665660513,0.036,0,1
"D2Wsu81e",0.161577918103847,2.94539291152976,0.036,0,1
"Etohi1",0.161577918103847,2.8728640592332,0.036,0,1
"5730508B09Rik",0.161577918103847,3.83313942442565,0.036,0,1
"Wdr8",0.161577918103847,2.90477335335528,0.036,0,1
"Wbscr22",0.161577918103847,4.44908688719113,0.036,0,1
"3110062M04Rik",0.161577918103847,3.4104896740296,0.036,0,1
"Prosc",0.161577918103847,3.4179658243179,0.036,0,1
"Cirh1a",0.161577918103847,3.43934791239274,0.036,0,1
"Gm38431,Raver1",0.161577918103847,3.71285029581605,0.036,0,1
"Ube2d-ps",0.161577918103847,3.35713668851191,0.036,0,1
"Papd4",0.161577918103847,2.95580305317048,0.036,0,1
"Zcchc6",0.161577918103847,3.20041913259906,0.036,0,1
"Selo",0.161577918103847,4.2633496823232,0.036,0,1
"Tmem2",0.161577918103847,3.91231131593918,0.036,0,1
"Metap2",0.161915946030687,1.4488512626737,0.378,0.396,1
"Fzd1",0.162070144997696,-0.271068583134052,0.031,0.075,1
"2010315B03Rik",0.162070144997696,-0.761993596659408,0.031,0.075,1
"Nid2",0.162070144997696,-0.447533912169693,0.031,0.075,1
"Ammecr1l",0.162070144997696,-0.214759937509162,0.031,0.075,1
"Sdad1",0.162200378284212,-2.17244959144539,0.01,0.038,1
"Zfp667",0.162200378284212,-2.68179074282109,0.01,0.038,1
"A330076H08Rik",0.162200378284212,-2.43075755648823,0.01,0.038,1
"Mbtps2",0.162200378284212,-2.1715345524885,0.01,0.038,1
"Mrps34",0.163271977033095,0.790008238029461,0.202,0.358,1
"Ppfibp2",0.16352291288781,-0.23259349235941,0.067,0.132,1
"Szrd1",0.163716024499198,0.687267364053098,0.088,0.17,1
"Glrx2",0.163795666213328,0.371805329142105,0.171,0.283,1
"Acer3",0.163991064763179,-0.494223437398393,0.031,0.075,1
"Gnpat",0.163991064763179,0.414152762943682,0.031,0.075,1
"Dyrk1a",0.163991064763179,-0.504494447546832,0.031,0.075,1
"Haus1",0.163991064763179,0.319326458849853,0.031,0.075,1
"Poldip2",0.164088350164075,0.662371998533209,0.124,0.226,1
"Snx1",0.164647562109825,0.130340516104354,0.093,0.17,1
"Cs",0.164698392609423,0.44840928088971,0.078,0.151,1
"Ttbk2",0.165209773874218,-1.90284774789866,0.01,0.038,1
