"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"mt-Co1",0,2.86614494121238,1,0.141,0,"C_1m","mt-Co1"
"mt-Co2",0,2.97096815152178,1,0.141,0,"C_1m","mt-Co2"
"mt-Atp6",0,2.94135146981593,1,0.141,0,"C_1m","mt-Atp6"
"mt-Co3",0,2.91421310679609,1,0.141,0,"C_1m","mt-Co3"
"mt-Nd4",0,2.85304697554389,1,0.141,0,"C_1m","mt-Nd4"
"mt-Cytb",0,2.76217202470573,1,0.141,0,"C_1m","mt-Cytb"
"mt-Nd1",0,3.02779321072541,0.999,0.141,0,"C_1m","mt-Nd1"
"mt-Nd2",0,2.88335393697303,0.999,0.141,0,"C_1m","mt-Nd2"
"mt-Nd3",0,1.95170552410703,0.898,0.136,0,"C_1m","mt-Nd3"
"mt-Nd5",0,2.86318886363174,0.863,0.12,0,"C_1m","mt-Nd5"
"Gm42418",0,1.83168226000055,0.876,0.137,0,"C_1m","Gm42418"
"mt-Nd4l",0,2.99244237470588,0.791,0.107,0,"C_1m","mt-Nd4l"
"Ubb",0,2.77552246126012,0.772,0.113,0,"C_1m","Ubb"
"Selenow",0,3.71495667247574,0.728,0.081,0,"C_1m","Selenow"
"Rpl26",0,2.83971076327737,0.748,0.105,0,"C_1m","Rpl26"
"Gapdh",0,2.73175400365949,0.651,0.097,0,"C_1m","Gapdh"
"Rpl14",0,2.72853706704162,0.581,0.087,0,"C_1m","Rpl14"
"mt-Atp8",0,3.29477699297507,0.551,0.069,0,"C_1m","mt-Atp8"
"Selenok",0,3.00812738991049,0.515,0.072,0,"C_1m","Selenok"
"H3f3b",0,2.64823708664262,0.512,0.076,0,"C_1m","H3f3b"
"Elob",0,2.74780298072002,0.489,0.073,0,"C_1m","Elob"
"Selenop",0,2.6417791714958,0.488,0.073,0,"C_1m","Selenop"
"Selenof",0,2.90016776356376,0.483,0.07,0,"C_1m","Selenof"
"Atp5md",0,3.10241826036611,0.464,0.061,0,"C_1m","Atp5md"
"Gm10076",0,3.05327485097258,0.455,0.061,0,"C_1m","Gm10076"
"Cops9",0,3.36457911443773,0.409,0.051,0,"C_1m","Cops9"
"Ndufs5",0,2.31772810983586,0.455,0.103,0,"C_1m","Ndufs5"
"Atp5mpl",0,2.95905623748584,0.402,0.056,0,"C_1m","Atp5mpl"
"Ndufb1-ps",0,2.8605637894334,0.388,0.056,0,"C_1m","Ndufb1-ps"
"Gm10260",0,10.7937935566527,0.326,0,0,"C_1m","Gm10260"
"Tle5",0,2.80669886611147,0.384,0.059,0,"C_1m","Tle5"
"Rps28",0,1.03602003624119,0.728,0.406,0,"C_1m","Rps28"
"Micos10",0,2.93826592327678,0.374,0.053,0,"C_1m","Micos10"
"Gas5",0,1.47623864375522,0.567,0.25,0,"C_1m","Gas5"
"Morf4l1",0,2.61768108056067,0.375,0.062,0,"C_1m","Morf4l1"
"Rps21",0,1.04052521866656,0.894,0.583,0,"C_1m","Rps21"
"Sem1",0,2.80488336288039,0.36,0.054,0,"C_1m","Sem1"
"Eno1",0,2.67519614361576,0.355,0.054,0,"C_1m","Eno1"
"Selenos",0,2.77578116725481,0.335,0.05,0,"C_1m","Selenos"
"Cox7c",0,0.808110269580093,0.709,0.435,0,"C_1m","Cox7c"
"Micos13",0,2.69944482808861,0.321,0.051,0,"C_1m","Micos13"
"Bst2",0,2.93975786905393,0.371,0.102,0,"C_1m","Bst2"
"Rpl38",0,0.809850622394729,0.794,0.527,0,"C_1m","Rpl38"
"Ndfip1",0,1.64925034016708,0.382,0.117,0,"C_1m","Ndfip1"
"Prxl2a",0,2.36179197604854,0.313,0.052,0,"C_1m","Prxl2a"
"Isg15",0,3.97076912650959,0.295,0.038,0,"C_1m","Isg15"
"Rpl37",0,0.734712816780436,0.855,0.598,0,"C_1m","Rpl37"
"Rps20",0,0.664906582795528,0.746,0.494,0,"C_1m","Rps20"
"Pcsk1n",0,0.915140580143609,0.481,0.23,0,"C_1m","Pcsk1n"
"Ndrg2",0,0.73794860494461,0.615,0.365,0,"C_1m","Ndrg2"
"Rpl12",0,0.585598105089071,0.618,0.369,0,"C_1m","Rpl12"
"Ifit3",0,3.8177023469289,0.274,0.027,0,"C_1m","Ifit3"
"Atp5k",0,0.994728376828133,0.487,0.242,0,"C_1m","Atp5k"
"Uba52",0,3.14616572429811,0.28,0.036,0,"C_1m","Uba52"
"Mbp",0,0.752580671333646,0.894,0.654,0,"C_1m","Mbp"
"Rps12",0,0.53353809258451,0.775,0.536,0,"C_1m","Rps12"
"Snu13",0,2.78563606829831,0.279,0.043,0,"C_1m","Snu13"
"Ifitm3",0,2.28103701284004,0.36,0.126,0,"C_1m","Ifitm3"
"Cox8a",0,0.649784554198314,0.855,0.622,0,"C_1m","Cox8a"
"Rab5if",0,3.01809260859155,0.268,0.036,0,"C_1m","Rab5if"
"Fabp7",0,0.995174607425246,0.374,0.143,0,"C_1m","Fabp7"
"Eloc",0,2.99611175635381,0.267,0.038,0,"C_1m","Eloc"
"BC004004",0,1.83586757756008,0.311,0.085,0,"C_1m","BC004004"
"Ndufb9",0,0.479395341153362,0.61,0.387,0,"C_1m","Ndufb9"
"Selenom",0,2.43720432460246,0.266,0.047,0,"C_1m","Selenom"
"Cystm1",0,2.29753574997318,0.272,0.053,0,"C_1m","Cystm1"
"Mt2",0,0.747156327032469,0.458,0.241,0,"C_1m","Mt2"
"Rex1bd",0,2.91516341341817,0.253,0.037,0,"C_1m","Rex1bd"
"Rps15a",0,0.585298979776122,0.676,0.461,0,"C_1m","Rps15a"
"Zbtb20",0,1.40064784694168,0.339,0.129,0,"C_1m","Zbtb20"
"Ptn",0,1.04211039714442,0.592,0.382,0,"C_1m","Ptn"
"Rps10",0,0.413148549649106,0.757,0.548,0,"C_1m","Rps10"
"Trir",0,2.91275641090682,0.241,0.034,0,"C_1m","Trir"
"Ttyh1",0,0.808568402135878,0.419,0.213,0,"C_1m","Ttyh1"
"Cwc22",0,2.80993843650893,0.223,0.02,0,"C_1m","Cwc22"
"Fmc1",0,2.55158699440794,0.243,0.04,0,"C_1m","Fmc1"
"S100b",0,0.82490438344311,0.381,0.179,0,"C_1m","S100b"
"Rtraf",0,2.59765257764788,0.239,0.038,0,"C_1m","Rtraf"
"Rpl34",0,0.475018732987697,0.718,0.52,0,"C_1m","Rpl34"
"Rpl39",0,0.480507134508117,0.716,0.519,0,"C_1m","Rpl39"
"Ifit3b",0,4.63087417275972,0.208,0.012,0,"C_1m","Ifit3b"
"Hnrnpa2b1",0,0.758224809889274,0.372,0.178,0,"C_1m","Hnrnpa2b1"
"Gm47283",0,4.85272405696574,0.204,0.011,0,"C_1m","Gm47283"
"Ntsr2",0,0.831241393157706,0.425,0.233,0,"C_1m","Ntsr2"
"mt-Nd6",0,2.93666230233106,0.222,0.031,0,"C_1m","mt-Nd6"
"Cavin3",0,2.80867816537962,0.224,0.034,0,"C_1m","Cavin3"
"Rps26",0,0.397958877302914,0.618,0.429,0,"C_1m","Rps26"
"Plaat3",0,2.44388835792173,0.229,0.04,0,"C_1m","Plaat3"
"Rpl28",0,0.387002420265711,0.732,0.543,0,"C_1m","Rpl28"
"Rps29",0,0.701283148657132,0.933,0.745,0,"C_1m","Rps29"
"Eef1b2",0,0.270671599388638,0.507,0.319,0,"C_1m","Eef1b2"
"Rplp1",0,0.55271263907122,0.924,0.737,0,"C_1m","Rplp1"
"Camk2n1",0,0.698349418387102,0.37,0.183,0,"C_1m","Camk2n1"
"Lsamp",0,1.77861623224123,0.247,0.061,0,"C_1m","Lsamp"
"Kcnj10",0,1.13899128567504,0.297,0.112,0,"C_1m","Kcnj10"
"Atp5e",0,0.364290764047133,0.589,0.404,0,"C_1m","Atp5e"
"Prdx6",0,0.501524034112768,0.504,0.322,0,"C_1m","Prdx6"
"Zfp91",0,2.96433018884466,0.212,0.03,0,"C_1m","Zfp91"
"Enho",0,0.79535370625392,0.338,0.158,0,"C_1m","Enho"
"Ppp1r2",0,2.89004456643966,0.21,0.031,0,"C_1m","Ppp1r2"
"Gabbr1",0,1.21554521920604,0.262,0.083,0,"C_1m","Gabbr1"
"Rps24",0,0.442452668409955,0.854,0.675,0,"C_1m","Rps24"
"Fads2",0,2.26842317437883,0.221,0.044,0,"C_1m","Fads2"
"Erg28",0,3.11016690544886,0.203,0.027,0,"C_1m","Erg28"
"Pfdn2",0,0.697292152311729,0.391,0.216,0,"C_1m","Pfdn2"
"Ptprz1",0,1.20614441808869,0.311,0.136,0,"C_1m","Ptprz1"
"Mcrip1",0,2.92417352402551,0.205,0.03,0,"C_1m","Mcrip1"
"Csnk2b",0,2.85473054320427,0.204,0.029,0,"C_1m","Csnk2b"
"Mt3",0,0.510340686682246,0.704,0.531,0,"C_1m","Mt3"
"Scrg1",0,0.975309673179992,0.279,0.107,0,"C_1m","Scrg1"
"Bcas1",0,0.995130776184957,0.293,0.121,0,"C_1m","Bcas1"
"Slc1a3",0,0.775544818468038,0.436,0.264,0,"C_1m","Slc1a3"
"Snhg8",0,3.23868183834938,0.196,0.025,0,"C_1m","Snhg8"
"Pantr1",0,0.664807039867455,0.349,0.181,0,"C_1m","Pantr1"
"Ntrk2",0,0.678359445301054,0.415,0.247,0,"C_1m","Ntrk2"
"Ss18l2",0,3.30754043984269,0.193,0.026,0,"C_1m","Ss18l2"
"Ndufa12",0,0.320405417023141,0.435,0.27,0,"C_1m","Ndufa12"
"Naxd",0,2.80805986946119,0.193,0.029,0,"C_1m","Naxd"
"Glud1",0,0.787544978485382,0.315,0.152,0,"C_1m","Glud1"
"Rida",0,0.925979343540852,0.285,0.122,0,"C_1m","Rida"
"Selenot",0,2.67958734971036,0.192,0.03,0,"C_1m","Selenot"
"Pura",0,0.533365858896121,0.275,0.114,0,"C_1m","Pura"
"Mt1",0,0.833655311223122,0.865,0.705,0,"C_1m","Mt1"
"Nnat",0,0.831858911177204,0.368,0.209,0,"C_1m","Nnat"
"Slc6a11",0,1.02703012842825,0.311,0.153,0,"C_1m","Slc6a11"
"Slc4a4",0,0.822668314850277,0.339,0.183,0,"C_1m","Slc4a4"
"Bex3",0,2.73830972496021,0.185,0.029,0,"C_1m","Bex3"
"Stat1",0,2.81831132475522,0.181,0.027,0,"C_1m","Stat1"
"Mtln",0,2.77677840175858,0.18,0.026,0,"C_1m","Mtln"
"Ptms",0,0.337123343903591,0.357,0.204,0,"C_1m","Ptms"
"Naxe",0,2.72098363659382,0.179,0.027,0,"C_1m","Naxe"
"AW047730",0,3.11374812930733,0.17,0.019,0,"C_1m","AW047730"
"Tra2a",0,0.885919697488442,0.23,0.08,0,"C_1m","Tra2a"
"Chpt1",0,0.96401130612479,0.249,0.099,0,"C_1m","Chpt1"
"Tceal9",0,3.06836475740095,0.173,0.024,0,"C_1m","Tceal9"
"Arl1",0,1.86397548345255,0.189,0.041,0,"C_1m","Arl1"
"Ogt",0,0.986949358681652,0.223,0.076,0,"C_1m","Ogt"
"Klf9",0,0.641634837220252,0.263,0.118,0,"C_1m","Klf9"
"Nkain4",0,0.784864615524821,0.305,0.16,0,"C_1m","Nkain4"
"Smim26",0,3.02053610556461,0.168,0.024,0,"C_1m","Smim26"
"Hebp1",0,0.570198657886054,0.244,0.1,0,"C_1m","Hebp1"
"St13",0,0.477244633152783,0.288,0.144,0,"C_1m","St13"
"Mir99ahg",0,2.01570615054114,0.186,0.043,0,"C_1m","Mir99ahg"
"Ramp1",0,0.538030481784694,0.343,0.202,0,"C_1m","Ramp1"
"Ndufaf8",0,2.7108895356053,0.169,0.028,0,"C_1m","Ndufaf8"
"Gm3764",0,3.20633448921208,0.158,0.018,0,"C_1m","Gm3764"
"Cldn10",0,0.673614479054746,0.375,0.235,0,"C_1m","Cldn10"
"Tst",0,0.437964651808319,0.269,0.129,0,"C_1m","Tst"
"Drap1",0,0.250984274963837,0.316,0.176,0,"C_1m","Drap1"
"Snrpn",0,3.04485578095596,0.161,0.022,0,"C_1m","Snrpn"
"Lsm6",0,0.565397361146396,0.325,0.186,0,"C_1m","Lsm6"
"Asrgl1",0,0.208361258201756,0.326,0.187,0,"C_1m","Asrgl1"
"Luc7l2",0,0.445928699738706,0.283,0.144,0,"C_1m","Luc7l2"
"Sparcl1",0,0.617246988539488,0.66,0.522,0,"C_1m","Sparcl1"
"Bola2",0,1.02231714976656,0.252,0.114,0,"C_1m","Bola2"
"Ciao2b",0,2.85962360622418,0.163,0.025,0,"C_1m","Ciao2b"
"Rab21",0,0.838651743083441,0.203,0.066,0,"C_1m","Rab21"
"Mrpl58",0,2.61371460901391,0.164,0.027,0,"C_1m","Mrpl58"
"Abhd3",0,0.756325968717029,0.257,0.12,0,"C_1m","Abhd3"
"Hikeshi",0,2.92066823905473,0.156,0.022,0,"C_1m","Hikeshi"
"Ifi27l2a",0,3.10737858456171,0.164,0.03,0,"C_1m","Ifi27l2a"
"Retreg1",0,2.35375276544987,0.163,0.029,0,"C_1m","Retreg1"
"Ube2m",0,0.253473489561769,0.243,0.11,0,"C_1m","Ube2m"
"Hddc3",0,2.45823303489914,0.153,0.02,0,"C_1m","Hddc3"
"Hpf1",0,3.22948012335694,0.153,0.02,0,"C_1m","Hpf1"
"Rtl8a",0,3.05225223157749,0.153,0.02,0,"C_1m","Rtl8a"
"Cenpx",0,2.72306722972726,0.156,0.024,0,"C_1m","Cenpx"
"Mlc1",0,0.582865991375638,0.273,0.142,0,"C_1m","Mlc1"
"Stxbp3",0,2.57436426237093,0.158,0.027,0,"C_1m","Stxbp3"
"Gna12",0,1.97501985180721,0.163,0.032,0,"C_1m","Gna12"
"Guk1",0,0.494394729519722,0.263,0.133,0,"C_1m","Guk1"
"Rgcc",0,0.87275887787504,0.248,0.118,0,"C_1m","Rgcc"
"Snrnp70",0,0.214539735670478,0.272,0.143,0,"C_1m","Snrnp70"
"4632427E13Rik",0,2.18555319831703,0.16,0.031,0,"C_1m","4632427E13Rik"
"Ciao2a",0,2.76439988506089,0.152,0.023,0,"C_1m","Ciao2a"
"Sdc4",0,0.927385510403555,0.221,0.093,0,"C_1m","Sdc4"
"Slc25a18",0,1.55625431210907,0.177,0.049,0,"C_1m","Slc25a18"
"1810026B05Rik",0,2.86060701042541,0.149,0.021,0,"C_1m","1810026B05Rik"
"Taf10",0,0.281686754762608,0.229,0.101,0,"C_1m","Taf10"
"Sap30l",0,0.869099170944832,0.19,0.062,0,"C_1m","Sap30l"
"Ptch1",0,1.29909325974389,0.195,0.067,0,"C_1m","Ptch1"
"Fez1",0,0.688333411623046,0.299,0.171,0,"C_1m","Fez1"
"Rnd2",0,3.76109072246781,0.141,0.013,0,"C_1m","Rnd2"
"Atp2a2",0,0.310582001323262,0.261,0.134,0,"C_1m","Atp2a2"
"Rtp4",0,2.2367318312254,0.162,0.035,0,"C_1m","Rtp4"
"A930005H10Rik",0,1.58959060763382,0.167,0.041,0,"C_1m","A930005H10Rik"
"Ank2",0,0.591798373021695,0.255,0.129,0,"C_1m","Ank2"
"Dbp",0,0.804450869800208,0.209,0.083,0,"C_1m","Dbp"
"Colec12",0,3.0347168642622,0.138,0.012,0,"C_1m","Colec12"
"Tmem47",0,0.508140260732735,0.288,0.162,0,"C_1m","Tmem47"
"Pip4p1",0,2.71358365437054,0.148,0.023,0,"C_1m","Pip4p1"
"Agpat3",0,0.419559307981698,0.237,0.112,0,"C_1m","Agpat3"
"Nktr",0,0.678213148619407,0.199,0.075,0,"C_1m","Nktr"
"Tusc3",0,2.32090990371827,0.153,0.029,0,"C_1m","Tusc3"
"Aig1",0,0.699685320143692,0.19,0.067,0,"C_1m","Aig1"
"Timp4",0,0.663014938685445,0.234,0.112,0,"C_1m","Timp4"
"Shisa4",0,0.395622953304165,0.247,0.125,0,"C_1m","Shisa4"
"Rbm42",0,2.61818212646358,0.145,0.023,0,"C_1m","Rbm42"
"Ednrb",0,0.92919349046224,0.235,0.113,0,"C_1m","Ednrb"
"Rbis",0,2.56664964389667,0.145,0.024,0,"C_1m","Rbis"
"Itgb8",0,2.29126344118433,0.147,0.026,0,"C_1m","Itgb8"
"Dctn4",0,0.717787950761524,0.189,0.068,0,"C_1m","Dctn4"
"Oasl2",0,3.78065905066218,0.132,0.012,0,"C_1m","Oasl2"
"Gcsh",0,0.899742706799597,0.203,0.083,0,"C_1m","Gcsh"
"Gm17018",0,2.98615516023963,0.139,0.019,0,"C_1m","Gm17018"
"Nsmce3",0,2.93028223589909,0.138,0.019,0,"C_1m","Nsmce3"
"Gm26917",0,2.62770461943059,0.139,0.02,0,"C_1m","Gm26917"
"Oip5os1",0,3.05052460790665,0.137,0.019,0,"C_1m","Oip5os1"
"Utp11",0,3.00177550833892,0.137,0.019,0,"C_1m","Utp11"
"Rxylt1",0,2.90870373890929,0.138,0.02,0,"C_1m","Rxylt1"
"Tlcd1",0,0.971706471425421,0.195,0.077,0,"C_1m","Tlcd1"
"Mindy2",0,2.6466977728659,0.141,0.023,0,"C_1m","Mindy2"
"Kif5a",0,0.960557873751615,0.186,0.068,0,"C_1m","Kif5a"
"Vegfb",0,0.966628030784813,0.178,0.06,0,"C_1m","Vegfb"
"Slc6a1",0,0.515200898710736,0.239,0.122,0,"C_1m","Slc6a1"
"Fam32a",0,0.599697288326403,0.208,0.092,0,"C_1m","Fam32a"
"Paxx",0,2.63577251191467,0.137,0.022,0,"C_1m","Paxx"
"Itih3",0,0.746901007797895,0.261,0.146,0,"C_1m","Itih3"
"Gm16286",0,2.66135912242206,0.138,0.023,0,"C_1m","Gm16286"
"Arl8a",0,0.167902445391567,0.225,0.11,0,"C_1m","Arl8a"
"Eprs",0,0.51685500956643,0.223,0.108,0,"C_1m","Eprs"
"Lgals3bp",0,1.81368309189703,0.169,0.055,0,"C_1m","Lgals3bp"
"Klf7",0,0.656117736338825,0.187,0.073,0,"C_1m","Klf7"
"Schip1",0,2.99250143445564,0.132,0.018,0,"C_1m","Schip1"
"Ahcyl1",0,0.270364929246079,0.24,0.126,0,"C_1m","Ahcyl1"
"Tgoln1",0,0.936377345931761,0.167,0.054,0,"C_1m","Tgoln1"
"Dock4",0,2.22658611048837,0.138,0.025,0,"C_1m","Dock4"
"Rtf2",0,2.64621173114903,0.134,0.021,0,"C_1m","Rtf2"
"Cox16",0,1.69341534535466,0.153,0.04,0,"C_1m","Cox16"
"Erbin",0,2.36969553213308,0.137,0.025,0,"C_1m","Erbin"
"Mdk",0,0.636523899598593,0.221,0.109,0,"C_1m","Mdk"
"Prxl2b",0,3.39214061968703,0.128,0.016,0,"C_1m","Prxl2b"
"Kmt5a",0,2.91413047869745,0.131,0.019,0,"C_1m","Kmt5a"
"Tmcc1",0,0.521491767802358,0.178,0.067,0,"C_1m","Tmcc1"
"BC005537",0,1.66905776832048,0.143,0.032,0,"C_1m","BC005537"
"Arxes2",0,1.09495773187522,0.178,0.067,0,"C_1m","Arxes2"
"Fdx2",0,3.03845158076172,0.127,0.017,0,"C_1m","Fdx2"
"Washc2",0,2.55700960848442,0.131,0.022,0,"C_1m","Washc2"
"Nop53",0,2.57778592373771,0.131,0.022,0,"C_1m","Nop53"
"Irf7",0,3.47027530001194,0.127,0.018,0,"C_1m","Irf7"
"Xaf1",0,1.01721089996892,0.168,0.06,0,"C_1m","Xaf1"
"Amd1",0,2.51406441829203,0.129,0.021,0,"C_1m","Amd1"
"Kif1a",0,0.484127342568669,0.222,0.115,0,"C_1m","Kif1a"
"Acsl6",0,0.518572137590942,0.223,0.116,0,"C_1m","Acsl6"
"Baalc",0,0.953794850179839,0.173,0.066,0,"C_1m","Baalc"
"Zfas1",0,3.13670402791611,0.121,0.015,0,"C_1m","Zfas1"
"Usp18",0,3.10069438844023,0.119,0.013,0,"C_1m","Usp18"
"Hist1h1c",0,1.1133219066748,0.15,0.044,0,"C_1m","Hist1h1c"
"Znrd2",0,2.65760332270761,0.126,0.02,0,"C_1m","Znrd2"
"Rtl8b",0,2.88556674977977,0.123,0.017,0,"C_1m","Rtl8b"
"Mtss2",0,3.33119220676183,0.119,0.014,0,"C_1m","Mtss2"
"1190005I06Rik",0,2.67285513964597,0.125,0.02,0,"C_1m","1190005I06Rik"
"Ifit1",0,2.79894432150725,0.123,0.018,0,"C_1m","Ifit1"
"Hras",0,0.157606347846855,0.2,0.096,0,"C_1m","Hras"
"Cbx1",0,0.652470425666558,0.174,0.07,0,"C_1m","Cbx1"
"Lxn",0,0.874208846582616,0.192,0.089,0,"C_1m","Lxn"
"Auts2",0,1.60834689915968,0.133,0.03,0,"C_1m","Auts2"
"Ppp4r3b",0,2.9383975848777,0.119,0.016,0,"C_1m","Ppp4r3b"
"Mia2",0,2.49596756123437,0.123,0.02,0,"C_1m","Mia2"
"Mpp6",0,1.07275147569815,0.157,0.056,0,"C_1m","Mpp6"
"Apoc1",0,2.05766431379798,0.13,0.029,0,"C_1m","Apoc1"
"Ccnt2",0,1.66086855371303,0.13,0.03,0,"C_1m","Ccnt2"
"Tut7",0,2.79454172432145,0.117,0.017,0,"C_1m","Tut7"
"Bcl7c",0,0.793770402871431,0.148,0.048,0,"C_1m","Bcl7c"
"Dtna",0,0.609906795116116,0.178,0.078,0,"C_1m","Dtna"
"Retreg2",0,2.65566691023978,0.117,0.018,0,"C_1m","Retreg2"
"S100a6",0,0.48518970965291,0.197,0.098,0,"C_1m","S100a6"
"Etnk1",0,0.41537339668258,0.172,0.073,0,"C_1m","Etnk1"
"Rnf213",0,5.19396400058176,0.104,0.005,0,"C_1m","Rnf213"
"Cadm2",0,0.621914841662244,0.174,0.075,0,"C_1m","Cadm2"
"Fibp",0,0.688190435132348,0.176,0.077,0,"C_1m","Fibp"
"Gm11808",0,3.2066102271209,0.114,0.016,0,"C_1m","Gm11808"
"Ntm",0,0.93723610679246,0.157,0.06,0,"C_1m","Ntm"
"Sash1",0,0.396198192328139,0.18,0.083,0,"C_1m","Sash1"
"R3hdm1",0,0.413203943934225,0.157,0.061,0,"C_1m","R3hdm1"
"Lrp1b",0,1.8633296292134,0.12,0.024,0,"C_1m","Lrp1b"
"Tpm3-rs7",0,7.30270161752959,0.097,0.001,0,"C_1m","Tpm3-rs7"
"Scamp3",0,2.41699269584117,0.115,0.02,0,"C_1m","Scamp3"
"Srebf2",0,1.53006091802501,0.127,0.032,0,"C_1m","Srebf2"
"Ptpa",0,2.79674125504108,0.111,0.017,0,"C_1m","Ptpa"
"Magi1",0,0.974417690074989,0.133,0.039,0,"C_1m","Magi1"
"Nsd3",0,2.65010294427849,0.112,0.018,0,"C_1m","Nsd3"
"Slc49a4",0,2.75677094091683,0.11,0.016,0,"C_1m","Slc49a4"
"Nrip1",0,1.03747582125027,0.135,0.041,0,"C_1m","Nrip1"
"H2-T23",0,1.2301821717027,0.157,0.064,0,"C_1m","H2-T23"
"Zcchc7",0,0.283226563866575,0.166,0.074,0,"C_1m","Zcchc7"
"Fads1",0,0.707178340471379,0.167,0.075,0,"C_1m","Fads1"
"6330403K07Rik",0,0.896076969870385,0.156,0.064,0,"C_1m","6330403K07Rik"
"Jpt1",0,2.75789554164468,0.109,0.017,0,"C_1m","Jpt1"
"H2-T22",0,4.44665490677381,0.099,0.007,0,"C_1m","H2-T22"
"Gpam",0,2.83463556380959,0.106,0.014,0,"C_1m","Gpam"
"Paqr6",0,1.20171042876678,0.138,0.047,0,"C_1m","Paqr6"
"Mbd2",0,0.100503948340885,0.162,0.071,0,"C_1m","Mbd2"
"Prelid3b",0,2.82600470103901,0.107,0.016,0,"C_1m","Prelid3b"
"Cenpb",0,0.737123960603897,0.159,0.069,0,"C_1m","Cenpb"
"Impad1",0,0.862901045231881,0.13,0.04,0,"C_1m","Impad1"
"Dmac1",0,2.84920929323882,0.107,0.017,0,"C_1m","Dmac1"
"1500011B03Rik",0,0.613965029900113,0.154,0.064,0,"C_1m","1500011B03Rik"
"Krit1",0,0.780163669151654,0.136,0.047,0,"C_1m","Krit1"
"Tia1",0,0.346017799670281,0.163,0.074,0,"C_1m","Tia1"
"Ube2j2",0,2.54747734815724,0.106,0.017,0,"C_1m","Ube2j2"
"Ddx50",0,0.479285991922834,0.144,0.055,0,"C_1m","Ddx50"
"Rorb",0,0.822614791766706,0.147,0.058,0,"C_1m","Rorb"
"Nbdy",0,2.82313049281826,0.104,0.015,0,"C_1m","Nbdy"
"Czib",0,2.88884975816411,0.104,0.016,0,"C_1m","Czib"
"Mir100hg",0,2.21683146864691,0.109,0.021,0,"C_1m","Mir100hg"
"Jmjd1c",0,0.521353836042618,0.154,0.066,0,"C_1m","Jmjd1c"
"Arhgef12",0,0.327892726090099,0.162,0.075,0,"C_1m","Arhgef12"
"Nrcam",0,0.759085502444975,0.136,0.049,0,"C_1m","Nrcam"
"Tnrc6c",0,0.624006308112671,0.142,0.055,0,"C_1m","Tnrc6c"
"Mast4",0,0.286283924150494,0.155,0.068,0,"C_1m","Mast4"
"Gria2",0,1.10818067482544,0.161,0.075,0,"C_1m","Gria2"
"AY036118",0,2.85902112930801,0.101,0.015,0,"C_1m","AY036118"
"Cap1",0,0.312133091204584,0.152,0.066,0,"C_1m","Cap1"
"Acyp2",0,0.579595680572058,0.154,0.068,0,"C_1m","Acyp2"
"Snrnp48",0,0.183746303217178,0.147,0.061,0,"C_1m","Snrnp48"
"Klhl24",0,0.475206186711447,0.142,0.056,0,"C_1m","Klhl24"
"Nfat5",0,0.570200216333735,0.136,0.051,0,"C_1m","Nfat5"
"Ro60",0,2.61617241877131,0.101,0.016,0,"C_1m","Ro60"
"Eif3j1",0,1.86146430142478,0.112,0.027,0,"C_1m","Eif3j1"
"Babam2",0,2.55531338152648,0.101,0.016,0,"C_1m","Babam2"
"Tafa5",0,2.899303452319,0.1,0.015,0,"C_1m","Tafa5"
"Afdn",0,2.53260378626396,0.101,0.016,0,"C_1m","Afdn"
"Itch",0,0.267039914768314,0.146,0.061,0,"C_1m","Itch"
"Mettl26",0,2.56621686541156,0.105,0.02,0,"C_1m","Mettl26"
"Zcchc24",0,0.432921594472439,0.14,0.056,0,"C_1m","Zcchc24"
"Ufd1",0,2.74220851442831,0.098,0.014,0,"C_1m","Ufd1"
"Oga",0,2.53931205360583,0.101,0.017,0,"C_1m","Oga"
"Entpd2",0,1.20116012032548,0.118,0.034,0,"C_1m","Entpd2"
"Pcdh10",0,0.381977423387081,0.145,0.061,0,"C_1m","Pcdh10"
"Gatad2b",0,0.919508682592741,0.122,0.038,0,"C_1m","Gatad2b"
"Mxd4",0,0.373835513328895,0.152,0.068,0,"C_1m","Mxd4"
"Tasor",0,2.53027611607371,0.102,0.018,0,"C_1m","Tasor"
"Hspa13",0,0.421791911545711,0.124,0.04,0,"C_1m","Hspa13"
"Gabrb1",0,1.02951981849846,0.129,0.046,0,"C_1m","Gabrb1"
"Atf7ip",0,1.14855079555154,0.117,0.034,0,"C_1m","Atf7ip"
"Stx16",0,0.371555279351446,0.137,0.055,0,"C_1m","Stx16"
"Vamp4",0,1.56875616489868,0.108,0.026,0,"C_1m","Vamp4"
"Gm6145",0,3.40420895580591,0.092,0.01,0,"C_1m","Gm6145"
"Gbp7",0,1.79156294677731,0.111,0.03,0,"C_1m","Gbp7"
"Mesd",0,2.79094704094789,0.096,0.015,0,"C_1m","Mesd"
"Cd300c2",0,2.54984959916285,0.096,0.015,0,"C_1m","Cd300c2"
"AC149090.1",0,1.73439988031135,0.109,0.028,0,"C_1m","AC149090.1"
"Prxl2c",0,3.38900116349538,0.089,0.009,0,"C_1m","Prxl2c"
"Ttc19",0,1.42530067323054,0.102,0.022,0,"C_1m","Ttc19"
"Peg3",0,1.03243086550688,0.117,0.038,0,"C_1m","Peg3"
"Pcdh17",0,0.647474075818883,0.134,0.055,0,"C_1m","Pcdh17"
"Phkg1",0,1.3899611327095,0.105,0.026,0,"C_1m","Phkg1"
