"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AI8490531",1.46419958537424e-79,2.24679022644269,0.011,0.002,3.19737263458172e-75,"C_6m","AI849053"
"Papss22",1.54923088856432e-79,0.750182770637841,0.03,0.011,3.38305549135791e-75,"C_6m","Papss2"
"Trp73",1.79691277896886e-79,0.676093408662917,0.014,0.003,3.9239184354343e-75,"C_6m","Trp73"
"Zic11",2.8544153877715e-79,0.140112208632273,0.055,0.027,6.23318688227662e-75,"C_6m","Zic1"
"Hif1an1",2.90169602818481e-79,0.140805791119931,0.032,0.012,6.33643361674716e-75,"C_6m","Hif1an"
"Pms2",4.32285360919707e-79,0.277475505990305,0.026,0.009,9.43981542640364e-75,"C_6m","Pms2"
"Smim221",4.54805648802906e-79,0.106948963343667,0.028,0.01,9.93159095290905e-75,"C_6m","Smim22"
"Rimklb1",9.17721867398622e-79,0.761624954090645,0.029,0.011,2.00402924183837e-74,"C_6m","Rimklb"
"Magi31",1.08639145741262e-78,0.44570329960855,0.03,0.012,2.37235302555193e-74,"C_6m","Magi3"
"1700023F06Rik",1.08722032803656e-78,0.655407712630948,0.015,0.004,2.37416303033343e-74,"C_6m","1700023F06Rik"
"C230072F16Rik1",1.13841147079254e-78,0.252696752370203,0.018,0.005,2.48594912876966e-74,"C_6m","C230072F16Rik"
"Zfp2761",1.14365129339701e-78,0.238709395524363,0.033,0.014,2.49739132939105e-74,"C_6m","Zfp276"
"Gria21",1.18955630647646e-78,0.123542060464355,0.129,0.081,2.59763410645266e-74,"C_6m","Gria2"
"St8sia5",1.19717455485998e-78,0.79777308370753,0.023,0.008,2.61427007544775e-74,"C_6m","St8sia5"
"C230037L18Rik1",1.24845404715649e-78,0.685176752343471,0.026,0.009,2.72624910277562e-74,"C_6m","C230037L18Rik"
"Htr2c",1.25891238230114e-78,0.529500114885836,0.031,0.012,2.749086969231e-74,"C_6m","Htr2c"
"Lrguk",1.4547544677177e-78,0.945598056721798,0.011,0.002,3.17674733115515e-74,"C_6m","Lrguk"
"Carmil31",1.76852855061234e-78,2.53614219919376,0.01,0.002,3.86193579597217e-74,"C_6m","Carmil3"
"Rai141",2.1448352938803e-78,0.645434470341136,0.028,0.01,4.6836768312464e-74,"C_6m","Rai14"
"Acer21",3.09845408885283e-78,1.27185082590659,0.027,0.01,6.76609419382792e-74,"C_6m","Acer2"
"Maml3",3.31970281821677e-78,0.307406049113292,0.031,0.012,7.24923504413996e-74,"C_6m","Maml3"
"Tc2n",3.32237404275053e-78,0.735179368033373,0.013,0.003,7.25506819715433e-74,"C_6m","Tc2n"
"Plekhm22",3.48024692694886e-78,0.203300185133079,0.049,0.023,7.59981521437822e-74,"C_6m","Plekhm2"
"Arhgef25",3.99056707702439e-78,0.340078024831069,0.031,0.012,8.71420132609815e-74,"C_6m","Arhgef25"
"Gk1",4.73186372265711e-78,0.155291768810405,0.043,0.019,1.03329708111663e-73,"C_6m","Gk"
"Fxyd5",7.47290245519517e-78,1.19659376970268,0.079,0.045,1.63185770914097e-73,"C_6m","Fxyd5"
"Zfp952",9.0520757372462e-78,0.287335072129085,0.028,0.01,1.97670177874245e-73,"C_6m","Zfp952"
"Tmprss11a",9.85365875096408e-78,0.201546052817756,0.01,0.002,2.15174346144803e-73,"C_6m","Tmprss11a"
"Pde1c1",1.31182701316679e-77,0.200908932396366,0.031,0.012,2.86463664865231e-73,"C_6m","Pde1c"
"Gabrr2",1.95210645671016e-77,0.794791565600656,0.013,0.003,4.26281486951798e-73,"C_6m","Gabrr2"
"Jhy",2.16874968976834e-77,0.289012739361683,0.01,0.002,4.73589869754713e-73,"C_6m","Jhy"
"Klhdc11",2.57307476106953e-77,0.505268271392062,0.023,0.008,5.61882335574754e-73,"C_6m","Klhdc1"
"Dpyd",2.96294799240608e-77,0.850684215789467,0.015,0.004,6.47018953101717e-73,"C_6m","Dpyd"
"Fam227a1",3.27816866352071e-77,0.466438753965226,0.019,0.005,7.15853691053017e-73,"C_6m","Fam227a"
