"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Slc29a3",1.8065341830526e-20,-0.851916627063806,0.027,0.11,3.75560391314806e-16
"Mtss1l",1.83672988080748e-20,9.55867196494414,0.134,0,3.81837774921066e-16
"Uso1",1.84344826897809e-20,-0.52751990034337,0.029,0.115,3.83234460637855e-16
"Angel2",1.88318791488309e-20,-0.449177445496269,0.052,0.164,3.91495935625046e-16
"Tubgcp5",1.90489490889072e-20,-0.77559445117884,0.022,0.1,3.96008602609291e-16
"Fbxl18",1.91648153935259e-20,-3.02064675335892,0.001,0.033,3.98417347216009e-16
"Trafd1",1.99117650709675e-20,-0.490479759504922,0.022,0.1,4.13945684060343e-16
"Svil",2.02775554767003e-20,-2.03921972655292,0.008,0.059,4.21550100805122e-16
"Nlrc5",2.04104415009551e-20,-4.25062377185666,0.001,0.031,4.24312668363355e-16
"Arf5",2.11187902016323e-20,0.201085131023182,0.227,0.491,4.39038529501733e-16
"Atf1",2.2334777642073e-20,-0.4846490303062,0.022,0.1,4.64317692401055e-16
"Ppa1",2.24923235411928e-20,0.129142239264031,0.103,0.262,4.67592914097858e-16
"Tmem33",2.25597240058186e-20,0.150569384181951,0.23,0.495,4.68994102356962e-16
"Gm5577",2.28539200301042e-20,-2.42871773340715,0.005,0.049,4.75110143505837e-16
"Ppip5k1",2.42148957098318e-20,-2.30905446769233,0.004,0.045,5.03403466911692e-16
"Rab35",2.441417485011e-20,-0.244357946531475,0.032,0.122,5.07546280958936e-16
"Rnf170",2.4598573055712e-20,-0.814671312220536,0.023,0.101,5.11379735255196e-16
"Pank2",2.51998346882611e-20,-0.639904147351638,0.039,0.136,5.23879363334261e-16
"Brsk1",2.5509762134866e-20,-2.43566648472963,0.004,0.045,5.3032244502173e-16
"Phrf1",2.62889194945636e-20,-1.43114387830615,0.013,0.075,5.46520347372483e-16
"Cep70",2.63639124164084e-20,-1.76035938097616,0.008,0.061,5.48079375224715e-16
"Spg7",2.68218499361769e-20,-0.587265619965375,0.026,0.108,5.57599438323182e-16
"Tbl1xr1",2.69411970405357e-20,-1.11655874518188,0.029,0.115,5.60080545275696e-16
"Usp30",2.6942095978056e-20,-1.22589731461203,0.006,0.054,5.60099233287807e-16
"Itsn2",2.71588998684828e-20,-0.665605367953013,0.025,0.105,5.64606369365889e-16
"Taf6",2.87091264162771e-20,-1.35326181176461,0.017,0.086,5.96834029067984e-16
"Usp47",2.90859548687665e-20,-0.577445824544592,0.023,0.101,6.04667915766787e-16
"6430503K07Rik",2.95195181531941e-20,-0.562992490494702,0.017,0.086,6.13681262886753e-16
"Retsat",3.00696418278617e-20,-0.454077069480577,0.032,0.121,6.25117783959417e-16
"2010204K13Rik",3.02726460159867e-20,-1.60361088780178,0.006,0.054,6.29338038026347e-16
"Cdkl3",3.10037069058219e-20,-1.69240644382906,0.009,0.063,6.44536062865131e-16
"Sirt2",3.14279993652212e-20,0.394686444933971,0.174,0.397,6.53356678803584e-16
"Sec24a",3.15514215574685e-20,-1.1846394151939,0.013,0.075,6.55922502758213e-16
"Zbtb33",3.44481132503193e-20,-1.63620832918104,0.01,0.066,7.16141826360888e-16
"Araf",3.47912074761935e-20,0.203793878255796,0.107,0.271,7.23274412222587e-16
"Naa10",3.47991037651798e-20,-0.139146063105882,0.042,0.143,7.23438568174323e-16
"Mapk4",3.52056282675119e-20,-0.521009440853657,0.035,0.128,7.31889806053305e-16
"March2",3.6090927801404e-20,0.203862946485766,0.097,0.25,7.50294298063387e-16
"Nufip2",3.63290012426121e-20,-0.160118211063113,0.075,0.21,7.55243606832662e-16
"Chmp5",3.75736359219578e-20,0.275878460334184,0.133,0.318,7.81118317181582e-16
"Rnf6",3.81715616857809e-20,-0.233453416273412,0.055,0.17,7.935485958857e-16
"Bdp1",3.91512891321984e-20,-0.758202386957388,0.026,0.107,8.13916149769272e-16
"Uba2",3.97249938278928e-20,-0.16744514616737,0.057,0.173,8.25842896688062e-16
"Fam172a",3.99326196970596e-20,-0.209658811222311,0.053,0.164,8.30159230882172e-16
"Ccdc189",4.10578101623213e-20,-0.415518920521,0.026,0.108,8.53550815464498e-16
"Ranbp10",4.11935070805648e-20,-1.24142190839163,0.01,0.066,8.56371818697861e-16
"Tet3",4.1921958000854e-20,-1.0416975821246,0.018,0.089,8.71515584879754e-16
"Grik2",4.20882197348207e-20,-1.82897672729211,0.007,0.056,8.74972000067187e-16
"Vcam1",4.24976685371458e-20,0.146756372392703,0.254,0.54,8.83484031218724e-16
"Ap1ar",4.25504575770828e-20,-1.29558354535666,0.007,0.056,8.84581462569975e-16
"Ufc1",4.37909321319904e-20,0.240582343469937,0.125,0.302,9.10369688091948e-16
"Ino80dos",4.82056347562099e-20,-1.9350044729872,0.005,0.051,1.00214694094685e-15
"Ndfip2",4.87844102675569e-20,0.270565132554862,0.158,0.367,1.01417910505224e-15
"Taf1",4.92923099547523e-20,-0.58572477132295,0.029,0.114,1.02473783164935e-15
"Arih1",4.93959838036559e-20,-0.662016477114304,0.028,0.112,1.0268931072942e-15
"Tmem41b",5.03752223083936e-20,-0.235013333174247,0.056,0.171,1.0472504965692e-15
"Ctdspl2",5.04412793000455e-20,-0.534277703631611,0.026,0.107,1.04862375536865e-15
"Ganab",5.1860069345296e-20,-0.446397012133981,0.043,0.145,1.07811898161936e-15
"Slc22a17",5.22718582222617e-20,0.181830494306206,0.251,0.54,1.0866796605826e-15
"C530008M17Rik",5.24363519057805e-20,-2.26218918614714,0.004,0.044,1.09009931976927e-15
