"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Etnk1",0,-2.78509173345937,0.039,0.442,0
"Snu13",0,-12.9101887217011,0,0.402,0
"Atp5mpl",0,-12.9682362408173,0,0.399,0
"Qpct",0,-4.34486968184143,0.013,0.411,0
"Nav2",0,-3.77299784809815,0.017,0.413,0
"Tut7",0,-12.8984864582104,0,0.393,0
"Irf7",0,-5.14327526779686,0.008,0.4,0
"Slfn2",0,-2.80000599753565,0.039,0.431,0
"Rtraf",0,-12.8375473018778,0,0.391,0
"Trir",0,-12.8087445092152,0,0.387,0
"Pik3ap1",0,-5.01603752041915,0.007,0.392,0
"Ndufs5",0,-3.27212568679414,0.022,0.406,0
"Micos10",0,-12.9246132838999,0,0.383,0
"Zup1",0,-13.0685113698427,0,0.379,0
"Parp14",0,-4.26846244598037,0.015,0.394,0
"Gm34455",0,-13.1966770766881,0,0.376,0
"Eloc",0,-12.7725541376646,0,0.368,0
"1810026B05Rik",0,-12.7973163925577,0,0.364,0
"Tpm3-rs7",0,-12.7410860716942,0,0.363,0
"Eno1",0,-12.7804656427059,0,0.362,0
"Map11",0,-12.8485611854634,0,0.359,0
"Rnf213",0,-12.9738050241931,0,0.358,0
"Ifi202b",0,-13.2192028346061,0,0.354,0
"Tle5",0,-12.7412957855599,0,0.353,0
"Micos13",0,-12.6040519844006,0,0.345,0
"Slfn5",0,-5.24950456265151,0.008,0.352,0
"Inka1",0,-12.7304921822603,0,0.34,0
"Snhg8",0,-6.69396969586414,0.001,0.334,0
"Adora3",0,-8.88287521814039,0,0.33,0
"Resf1",0,-12.7099778928951,0,0.329,0
"Oasl2",0,-5.39671959344099,0.004,0.331,0
"Arl1",0,-4.03830788765722,0.009,0.335,0
"Plac8",0,-5.45932551868112,0.005,0.33,0
"Usp18",0,-4.26171041044524,0.01,0.329,0
"Mcrip1",0,-12.5134501507528,0,0.318,0
"Gm47664",0,-12.7575282795338,0,0.317,0
"Mid1",0,-4.81494118483989,0.007,0.324,0
"Mob1a",0,-5.19303522499643,0.005,0.321,0
"Zbp1",0,-6.59827279682864,0.002,0.302,0
"Grk2",0,-12.3850028939374,0,0.298,0
"Pold4",0,-5.26013342108961,0.003,0.299,0
"Gm2629",0,-12.4714219929711,0,0.292,0
"Zfp91",0,-12.4055118202966,0,0.292,0
"Utp11",0,-12.3514718254424,0,0.287,0
"Gm16286",0,-12.3089856763031,0,0.284,0
"Mia2",0,-12.3792923339749,0,0.281,0
"Cybc1",0,-12.2625526180146,0,0.279,0
"Ints6l",0,-12.4525248056223,0,0.275,0
"Ciao2a",0,-12.1877604913829,0,0.273,0
"Nsd3",0,-12.2872305629131,0,0.27,0
"Zfp652",0,-12.2902196361602,0,0.27,0
"Csnk2b",0,-6.63046998418231,0.001,0.266,0
"Tmem273",0,-12.2220072433758,0,0.26,0
"Rex1bd",0,-12.0502210071058,0,0.259,0
"Naxd",0,-12.0912273954977,0,0.256,0
"Dop1b",0,-12.265693405707,0,0.256,0
"Mindy2",0,-12.1922268447699,0,0.25,0
"Rtf2",0,-12.0446426656288,0,0.249,0
"Nsmce3",0,-12.0241531635833,0,0.249,0
"Gm15503",0,-12.3820171491438,0,0.248,0
"Gm26917",0,-12.329173317356,0,0.248,0
"Cenpx",0,-12.1175109591538,0,0.244,0
"Gm10138",0,-12.3129652633546,0,0.243,0
"Calm2",0,2.01109246536661,0.908,0.848,0
"P2ry12",0,1.54047388442545,0.973,0.984,0
"Cd81",0,1.43836145895476,0.989,0.994,0
"C1qc",0,1.10791775391308,0.995,0.996,0
"Fchsd2",1.62152594350285e-306,-2.28316029070587,0.053,0.479,3.37099028394808e-302
"A830008E24Rik",9.05258279543294e-306,-12.1684617286205,0,0.239,1.88194143734255e-301
"Rbm42",9.05258748025275e-306,-11.9642902407009,0,0.239,1.88194241126974e-301
"Oaf",2.17804197779625e-305,-2.10423639720591,0.07,0.532,4.52793146764063e-301
"Selenot",5.09853937490029e-302,-11.87542443528,0,0.236,1.05993535064802e-297
"Map4k4",1.61502551261972e-301,-2.32933673448631,0.055,0.477,3.35747653818514e-297
"Ddx50",3.02491506808695e-301,-2.68046527113656,0.031,0.392,6.28849593504595e-297
"Hpf1",2.84958887971632e-298,-12.0096023800026,0,0.234,5.92401032204225e-294
"Akap13",6.23707068624185e-298,-2.20016157643153,0.068,0.518,1.29662462496282e-293
"Ctss",1.1211303450316e-295,0.950908313571926,0.997,0.998,2.3307178742862e-291
"Naxe",1.58047002387272e-294,-11.9133236157423,0,0.231,3.28563913262899e-290
"Hnrnpa2b1",1.84146472444664e-293,-1.85048739730129,0.173,0.758,3.82822101565213e-289
"Rpl14,Rpl14-ps1",2.60393642065879e-292,13.423012077708,0.68,0,5.41332342490756e-288
"Zfas1",4.9310450880119e-292,-11.954914144496,0,0.229,1.02511496334679e-287
"Igsf8",6.57070589394213e-292,-2.16752387730897,0.056,0.477,1.36598404829163e-287
