"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pja2",1.05655975592162e-08,0.387449425958329,0.086,0.28,0.000219648207658545
"Lrrc42",1.05691094799631e-08,-0.555704219914752,0.029,0.153,0.000219721216978954
"Ric8a",1.06231936531578e-08,-0.165256205199902,0.025,0.144,0.000220845572855498
"Appbp2",1.06731939830537e-08,-0.270389910109482,0.035,0.169,0.000221885029713703
"Trak1",1.07777342179985e-08,-1.51090413617549,0.022,0.136,0.00022405831665797
"Rtn3",1.08757211146319e-08,0.417054700505884,0.242,0.568,0.000226095366252082
"Apoe",1.09080920725523e-08,0.968808046098657,0.97,0.983,0.000226768326096289
"Ddx55",1.09125246978246e-08,-1.76358099159483,0.011,0.102,0.000226860475943075
"Lsm7",1.10233148907325e-08,0.761575096729534,0.171,0.441,0.000229163693263438
"Arcn1",1.10384579029285e-08,-0.215029364546515,0.025,0.144,0.00022947850134398
"Kat6a",1.10461699964037e-08,-0.9210567566973,0.029,0.153,0.000229638828055237
"Dnajb4",1.10651707760248e-08,0.128792936735009,0.065,0.237,0.00023003383526278
"Usp34",1.11070316987132e-08,-0.248662262625707,0.07,0.246,0.000230904081984549
"Pttg1ip",1.11082942803761e-08,0.217484077486192,0.089,0.288,0.000230930329794739
"Cpsf7",1.11976314765784e-08,-1.00505119446417,0.019,0.127,0.000232787560766589
"Ncoa2",1.12450492824059e-08,-2.29071754710157,0.011,0.102,0.000233773329531936
"Csf1",1.12450492824059e-08,-0.499161578676155,0.011,0.102,0.000233773329531936
"2810006K23Rik",1.12924856453154e-08,-0.275436726039771,0.019,0.127,0.000234759484080463
"Mcu",1.13580633700426e-08,-1.19185810533365,0.011,0.102,0.000236122779399815
"Plp1",1.14045862511132e-08,3.04448431962865,0.563,0.5,0.000237089943574392
"Ndufaf2",1.14831616302164e-08,0.52791353061761,0.068,0.246,0.000238723447130569
"Exoc1",1.14919865845593e-08,-1.67263967771508,0.022,0.136,0.000238906909106403
"Tdrd7",1.15576045677186e-08,-1.15143024330469,0.025,0.144,0.000240271041358302
"Abhd17a",1.15768193325421e-08,0.329543444500491,0.052,0.212,0.000240670497104217
"Eif3b",1.16553982240603e-08,-0.269168661923418,0.046,0.195,0.000242304073679989
"Atp5k",1.18130256623397e-08,0.184992450209264,0.385,0.864,0.000245580990494381
"Angptl6",1.18782239152049e-08,-0.338322130181805,0.019,0.127,0.000246936396973195
"Clk4",1.18891911148214e-08,-0.868061523610539,0.051,0.203,0.000247164394086022
"Faf2",1.19555987669033e-08,-0.108179143203912,0.054,0.212,0.000248544942765154
"Zdhhc3",1.19615316255045e-08,-0.558204229354621,0.022,0.136,0.000248668280962614
"Pkd1",1.19615316255045e-08,-0.94348557692165,0.022,0.136,0.000248668280962614
"Eif3l",1.20454036660543e-08,0.803817787781735,0.067,0.246,0.000250411896813602
"Snx21",1.21820318684258e-08,-0.1561697901577,0.019,0.127,0.000253252260512703
"Gm10941",1.23027891481869e-08,-1.29088437816349,0.011,0.102,0.000255762683601658
"Cetn3",1.23558960569084e-08,0.466997167308518,0.236,0.559,0.000256866723127068
"D630045J12Rik",1.27042752523009e-08,-4.21466392438487,0.005,0.076,0.000264109178220083
"Tmem39a",1.27042752523009e-08,-4.25589527179297,0.005,0.076,0.000264109178220083
"Mylk",1.28638221702535e-08,-4.41539775607207,0.005,0.076,0.000267425999097401
"Macrod1",1.30004243649213e-08,-0.602902173891273,0.051,0.203,0.000270265822122349
"Fam214a",1.30374374368677e-08,-1.75385441703755,0.014,0.11,0.000271035286875043
"Gm29107",1.33279648992116e-08,-5.46316687682874,0,0.051,0.000277075062289709
"Cnot9",1.33279648992116e-08,-5.55180129424312,0,0.051,0.000277075062289709
"2900060B14Rik",1.33279648992116e-08,-6.27426300887898,0,0.051,0.000277075062289709
"Crb1",1.33279648992116e-08,-5.60755230393729,0,0.051,0.000277075062289709
"Coq8a",1.33279648992116e-08,-5.7220380641245,0,0.051,0.000277075062289709
"Kyat1",1.33279648992116e-08,-5.97956887706973,0,0.051,0.000277075062289709
"Ier5l",1.33279648992116e-08,-7.18211153931584,0,0.051,0.000277075062289709
"Gm17494",1.33279648992116e-08,-5.89397680631257,0,0.051,0.000277075062289709
"Kyat3",1.33279648992116e-08,-5.7954654210773,0,0.051,0.000277075062289709
"Myorg",1.33279648992116e-08,-6.39409990207762,0,0.051,0.000277075062289709
"Gm20878",1.33279648992116e-08,-5.86803338261756,0,0.051,0.000277075062289709
"Abitram",1.33279648992116e-08,-5.52370333815636,0,0.051,0.000277075062289709
"Patj",1.33279648992116e-08,-5.34177227643528,0,0.051,0.000277075062289709
"3110021N24Rik",1.33279648992116e-08,-5.718723989663,0,0.051,0.000277075062289709
"S100pbp",1.33279648992116e-08,-5.78151474536066,0,0.051,0.000277075062289709
"Zfp992",1.33279648992116e-08,-6.47869181594796,0,0.051,0.000277075062289709
"Prdm16os",1.33279648992116e-08,-6.92395311664374,0,0.051,0.000277075062289709
"Gm42517",1.33279648992116e-08,-5.35549644930101,0,0.051,0.000277075062289709
"Ssh1",1.33279648992116e-08,-5.27070131210314,0,0.051,0.000277075062289709
"Cfap73",1.33279648992116e-08,-5.4222525497369,0,0.051,0.000277075062289709
"Hectd4",1.33279648992116e-08,-5.85528732456737,0,0.051,0.000277075062289709
"Pheta1",1.33279648992116e-08,-6.39164101723738,0,0.051,0.000277075062289709
"Mettl27",1.33279648992116e-08,-6.37358188027464,0,0.051,0.000277075062289709
"Map11",1.33279648992116e-08,-5.39393476595148,0,0.051,0.000277075062289709
"Tmem178b",1.33279648992116e-08,-6.00549818699532,0,0.051,0.000277075062289709
"Gm16499",1.33279648992116e-08,-5.69791004558052,0,0.051,0.000277075062289709
"Cacng7",1.33279648992116e-08,-5.44750499614982,0,0.051,0.000277075062289709
"Dmac2",1.33279648992116e-08,-6.04036309023128,0,0.051,0.000277075062289709
"Zfp607b",1.33279648992116e-08,-6.29190754823197,0,0.051,0.000277075062289709
"Hbb-bt",1.33279648992116e-08,-13.047852338303,0,0.051,0.000277075062289709
"AV356131",1.33279648992116e-08,-6.35883989223839,0,0.051,0.000277075062289709
"Xylt1",1.33279648992116e-08,-5.77067770117526,0,0.051,0.000277075062289709
"Gm15677",1.33279648992116e-08,-5.8768908738872,0,0.051,0.000277075062289709
"Rab20",1.33279648992116e-08,-5.85620119021193,0,0.051,0.000277075062289709
"Ccdc194",1.33279648992116e-08,-5.25877778866642,0,0.051,0.000277075062289709
"Large1",1.33279648992116e-08,-6.06859969060509,0,0.051,0.000277075062289709
"A130014A01Rik",1.33279648992116e-08,-5.47352892033584,0,0.051,0.000277075062289709
"Igsf9b",1.33279648992116e-08,-5.82660534367462,0,0.051,0.000277075062289709
"Gm29521",1.33279648992116e-08,-7.03359826290815,0,0.051,0.000277075062289709
"D830035M03Rik",1.33279648992116e-08,-5.97585414663361,0,0.051,0.000277075062289709
"Gm12144",1.33279648992116e-08,-6.28484860458835,0,0.051,0.000277075062289709
"Gm12166",1.33279648992116e-08,-6.38954381353849,0,0.051,0.000277075062289709
"Fstl4",1.33279648992116e-08,-5.51245873762756,0,0.051,0.000277075062289709
"Cacng4",1.33279648992116e-08,-5.68573572616994,0,0.051,0.000277075062289709
"Gm4419",1.33279648992116e-08,-5.39620688273411,0,0.051,0.000277075062289709
"Foxg1",1.33279648992116e-08,-6.74299424375348,0,0.051,0.000277075062289709
"Smoc1",1.33279648992116e-08,-7.06426508216328,0,0.051,0.000277075062289709
"Acot6",1.33279648992116e-08,-6.41505857541958,0,0.051,0.000277075062289709
"Gm49359",1.33279648992116e-08,-6.05052681980205,0,0.051,0.000277075062289709
"Zfp458",1.33279648992116e-08,-6.06194547268186,0,0.051,0.000277075062289709
"2410022M11Rik",1.33279648992116e-08,-5.70006205300172,0,0.051,0.000277075062289709
"B930095G15Rik",1.33279648992116e-08,-6.41020427089576,0,0.051,0.000277075062289709
"Gm32618",1.33279648992116e-08,-5.32846229645091,0,0.051,0.000277075062289709
"Iqank1",1.33279648992116e-08,-5.74578015433435,0,0.051,0.000277075062289709
"Eppk1",1.33279648992116e-08,-5.71777548491976,0,0.051,0.000277075062289709
"Gm36738",1.33279648992116e-08,-5.6482591905722,0,0.051,0.000277075062289709
"Zdhhc23",1.33279648992116e-08,-5.9713011792762,0,0.051,0.000277075062289709
"Gm7072",1.33279648992116e-08,-5.73291123196638,0,0.051,0.000277075062289709
"Gm26549",1.33279648992116e-08,-5.40664030515142,0,0.051,0.000277075062289709
"Gm17251",1.33279648992116e-08,-5.31029120573022,0,0.051,0.000277075062289709
"Ager",1.33279648992116e-08,-5.74390721994439,0,0.051,0.000277075062289709
"Gm9993",1.33279648992116e-08,-5.75112879052999,0,0.051,0.000277075062289709
"Syt4",1.33279648992116e-08,-6.16790414553946,0,0.051,0.000277075062289709
"Gm16283",1.33279648992116e-08,-5.5244830317898,0,0.051,0.000277075062289709
"Armcx5",1.33279648992116e-08,-5.42348434118533,0,0.051,0.000277075062289709
