"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ube2j2",2.55155539604171e-179,-7.91384311254017,0.001,0.403,5.30442851283112e-175
"Ramac",1.6759614568379e-174,-10.4922397055266,0,0.386,3.48415627262031e-170
"AC149090.1",1.6759614568379e-174,-10.7357895070986,0,0.386,3.48415627262031e-170
"Rtl8b",6.91047674572071e-172,-10.619152065265,0,0.381,1.43661901066788e-167
"Smim26",2.83393232637215e-169,-10.534727661103,0,0.375,5.89146191329507e-165
"Adnp",1.99093598685878e-168,-7.69831077894765,0.002,0.392,4.13895682308071e-164
"Ndfip1",6.16578286605107e-167,-3.61477749315409,0.063,0.773,1.28180460002336e-162
"Gm4258",4.68899400424611e-164,-11.4161061793863,0,0.364,9.74794963542724e-160
"Fdx2",4.68899400424611e-164,-10.3364488395676,0,0.364,9.74794963542724e-160
"Paxx",1.89189049891213e-161,-10.7164941344538,0,0.358,3.93305115818844e-157
"Mtln",1.89189049891213e-161,-10.5374803395505,0,0.358,3.93305115818844e-157
"Prelid3b",1.89189049891213e-161,-10.4192262177162,0,0.358,3.93305115818844e-157
"Utp11",1.89189049891213e-161,-10.601646155457,0,0.358,3.93305115818844e-157
"Hist1h2ap",1.89189049891213e-161,-13.2599193462365,0,0.358,3.93305115818844e-157
"Rbm4",4.6248498599058e-161,-8.36157675343545,0.001,0.364,9.61460037375817e-157
"Arl1",1.1059821628545e-158,-3.74248130294532,0.015,0.494,2.29922631835822e-154
"Auts2",1.57871929523889e-156,-3.1762482265201,0.041,0.659,3.28199954287212e-152
"Rnf227",3.0303268220774e-156,-10.7448585033293,0,0.347,6.29974643041672e-152
"Rtf2",3.03033455765241e-156,-10.3304057962189,0,0.347,6.29976251190359e-152
"Eef1akmt2",3.03033455765241e-156,-10.4032991697463,0,0.347,6.29976251190359e-152
"Oga",3.03033455765241e-156,-10.4521627646582,0,0.347,6.29976251190359e-152
"Mir99ahg",5.29898789220735e-155,-3.53266638870056,0.045,0.665,1.10160659291099e-150
"Eid2",3.08266157642444e-154,-3.96244794122331,0.013,0.472,6.40854515122876e-150
"Czib",1.20303119473956e-153,-10.2270359835709,0,0.341,2.50098155074407e-149
"Prxl2a",1.20303119473956e-153,-10.5834503391801,0,0.341,2.50098155074407e-149
"Selenom",4.75037678159581e-151,-11.2550720734311,0,0.335,9.87555829125954e-147
