"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Arl1",1.60765091410807e-220,-3.92287296249314,0.025,0.571,3.34214548533927e-216
"Rpl30",6.59984511100238e-218,-1.86826970919261,0.581,0.984,1.37204180012629e-213
"Nbdy",1.53193872753013e-216,-11.0813653224194,0,0.472,3.18474742066239e-212
"Sepw1",9.11021053300342e-215,12.5070652220285,0.805,0,1.89392166770608e-210
"Rps24",1.2726133195885e-213,-1.55989883219789,0.756,0.998,2.64563583009253e-209
"9930111J21Rik2",1.27373493951659e-213,-6.81135318487886,0.004,0.483,2.64796756576104e-209
"Nop53",1.07070577284206e-211,-10.9885797488186,0,0.462,2.22589023116137e-207
"Cenpx",1.07070706612623e-211,-11.1439064749663,0,0.462,2.22589291976983e-207
"Ifit3b",1.16615590079263e-210,-4.53776582615331,0.037,0.571,2.42432150215779e-206
"Shfm1",1.68800555978721e-209,12.4468002178027,0.793,0,3.50919475824163e-205
"1810026B05Rik",2.7743983746117e-209,-11.0910490959031,0,0.457,5.76769678098027e-205
"Aopep",1.76352346138598e-208,-11.1153785298795,0,0.456,3.66618892387531e-204
"Itpkb",1.84877129102141e-204,-5.47746955555634,0.007,0.478,3.84341063690441e-200
"Rtl8b",7.0939908833317e-203,-11.11568440807,0,0.445,1.47476976473583e-198
"Tpm3-rs7",1.7507575880938e-200,-10.902518109179,0,0.44,3.63964994988819e-196
"Zbtb20",1.96033685571656e-199,-2.64959605996967,0.174,0.802,4.07534428934917e-195
"Zfas1",4.26405976779619e-198,-11.459793688248,0,0.435,8.8645538512715e-194
"Ndufaf8",4.26405976779619e-198,-10.8943623129918,0,0.435,8.8645538512715e-194
"Selenot",2.65510765431235e-197,-10.8472225277594,0,0.434,5.51970330254994e-193
"Tceb2",1.96544541563221e-194,12.1950633794193,0.758,0,4.08596447455781e-190
"Ripor1",3.93341951752211e-194,-10.9212489481715,0,0.427,8.17718583497671e-190
"Rbm42",2.43140824405892e-193,-10.8257729431364,0,0.426,5.05465459857409e-189
"Ciao2b",1.50076323102913e-192,-10.8086912041288,0,0.424,3.11993668098645e-188
"Bex3",9.24985056985427e-192,-11.1299056047745,0,0.422,1.922951434967e-187
"Stat1",3.89057543369305e-191,-3.36872886987995,0.096,0.666,8.08811726910448e-187
"H2-K1",4.57999318365052e-191,-3.1813092234282,0.372,0.903,9.52134782949107e-187
"Rpl28",1.02800305774942e-190,-1.53331556534553,0.667,0.992,2.13711555675526e-186
"Sep15",1.00398413499096e-187,12.0985471025326,0.742,0,2.0871826182327e-183
"Hbb-bs",1.40378301400818e-185,1.18958809184081,0.86,0.147,2.91832450782162e-181
"Gm47283",1.11216837790044e-184,-10.9692878201472,0,0.408,2.31208684081721e-180
"Utp11",1.11216903088748e-184,-10.7435430498972,0,0.408,2.31208819831198e-180
"Rpsa",5.85205755293693e-184,-1.72582380775467,0.509,0.973,1.21658424468006e-179
"Dock4",1.42103299672252e-183,-4.72405123677527,0.017,0.47,2.95418549688645e-179
"Gm16286",1.50151021038753e-181,-10.7013823847232,0,0.402,3.12148957637463e-177
"Hebp1",4.18221530187078e-181,-3.55769426086391,0.028,0.505,8.69440739105917e-177
"Ocel1",1.35272629728967e-180,-3.44165993339945,0.031,0.511,2.81218269943551e-176
"Hikeshi",5.46961960043786e-180,-10.762524205996,0,0.399,1.13707921873503e-175
"Mbd2",5.2713089476151e-179,-3.10514451077219,0.068,0.598,1.0958524171197e-174
"Cystm1",2.59071806905827e-178,-4.08261675423352,0.017,0.46,5.38584379376525e-174
"Taf10",1.41761953208707e-177,-2.88124741509691,0.097,0.652,2.94708924525581e-173
"Spock2",2.92091391758936e-177,-2.63663288437886,0.343,0.872,6.07228794327652e-173
"Ifi44",4.28389158563222e-177,-4.16858903719294,0.067,0.566,8.90578221737082e-173
"Nebl",5.90982340616272e-176,-3.47458532316569,0.051,0.552,1.22859318790717e-171
"Ifi203",6.18362810080643e-175,-4.21089011709046,0.03,0.492,1.28551444587665e-170
"Shld1",1.52522438434997e-174,-10.9574186236791,0,0.388,3.17078897262514e-170
"Rpl23",2.6162773707678e-174,-1.30980428943691,0.786,0.989,5.43897902608917e-170
"Cd81",4.39739194517858e-173,1.55427710589673,0.96,0.965,9.14173811483176e-169
"Rras",5.74153310353183e-172,-2.23297271609676,0.202,0.797,1.19360731689323e-167
"Pura",1.72805649766154e-170,-2.90416188002206,0.09,0.625,3.59245665298857e-166
"Rpl35",3.7339202278993e-170,1.56024840189589,0.942,0.951,7.76244676177985e-166
"Psmb9",2.94743875471076e-169,-2.99400986042677,0.097,0.63,6.1274304271682e-165
"Irf7",1.26587544382064e-168,-3.98532994095918,0.17,0.687,2.63162846015873e-164
"Mrtfb",2.34114396903119e-168,-10.6622039646108,0,0.375,4.86700419721893e-164
"Mrpl58",1.3801070265338e-167,-10.5787169671308,0,0.373,2.86910449746113e-163
"Cyyr1",1.73120432317685e-167,-2.99071639745455,0.075,0.593,3.59900066745236e-163
"Psmb8",1.07934053895985e-166,-3.00521163393414,0.228,0.764,2.24384104644364e-162
"Ppp4r3b",4.77570132860007e-166,-10.6635732678185,0,0.37,9.92820549202668e-162
"Rpl19",1.35124116020377e-164,-1.207026433548,0.771,0.989,2.80909524794762e-160
"Nsmce3",1.64325247985138e-164,-10.6368959987733,0,0.367,3.41615758036304e-160
"Ifit3",2.09520009961828e-164,-3.56458573624869,0.138,0.657,4.35571148709645e-160
"Slfn2",1.0081019958221e-163,-4.27700995255142,0.038,0.486,2.09574323911455e-159
"Selenos",5.62236992614154e-163,-10.6467658923654,0,0.364,1.16883448394557e-158
"Rbis",3.28177093809498e-162,-10.5442208570468,0,0.362,6.82247360320565e-158
"Oasl2",1.53525991471516e-160,-3.1638057699372,0.096,0.604,3.19165183670135e-156
"Btbd7",2.41566715297478e-160,-2.86868846592531,0.03,0.467,5.02193044431928e-156
"Ifit2",3.29754035653143e-160,-4.61082911678426,0.028,0.451,6.85525664719319e-156
"Mtln",6.47153149902169e-160,-10.6338269077289,0,0.358,1.34536668333162e-155
"Inka1",3.75623229685446e-159,-10.6255522598329,0,0.356,7.80883132193073e-155
"Mindy2",3.75623444299443e-159,-10.6233699303818,0,0.356,7.80883578354111e-155
"Tshz2",5.75800091675965e-159,-3.30081580474808,0.046,0.509,1.19703081058516e-154
"Rtf2",2.17715115826544e-158,-10.5002710639454,0,0.354,4.52607954291803e-154
"Hnrnpa0",4.54881296390209e-158,-2.42240558485106,0.111,0.647,9.45652727065606e-154
"Bst2",2.85224217662521e-157,-3.64443097518163,0.384,0.853,5.92952626098615e-153
"Gbp6",4.20383747344413e-156,-11.0227828529866,0,0.35,8.73935772354301e-152
"Rps8",1.3365527026464e-155,-1.05339286171038,0.849,0.995,2.77855941353159e-151
"Naxe",1.39458708503776e-154,-10.487719615878,0,0.347,2.89920709108501e-150
"Minos1",1.9747091486926e-154,11.7072988086669,0.656,0,4.10522284921705e-150
"Rack1",5.59803785216598e-154,-1.61495949523918,0.432,0.934,1.16377608908678e-149
"H2-T23",5.86924961412643e-153,-2.46278697443758,0.22,0.758,1.22015830228074e-148
"Cwc22",1.62506993634518e-152,-3.03755194769588,0.045,0.494,3.378357890668e-148
"Hspb1",3.62258523051745e-152,-1.53340275069523,0.74,0.983,7.53099243572273e-148
"Ramac",8.6267217772543e-151,-10.485810847869,0,0.339,1.7934091902734e-146
"Rpl27a",1.47803649458043e-150,-1.03759707373414,0.849,0.997,3.07269006858325e-146
"Plp1",2.66120275732767e-150,2.46141849711688,0.836,0.506,5.5323744122085e-146
"Isg20",4.46764514386692e-150,-4.05662909663465,0.069,0.516,9.28778748958494e-146
"Eef1a1",1.73961916534308e-149,-1.10223713578691,0.833,0.997,3.61649428283174e-145
"Timp3",1.86284059678116e-149,-1.84377365683088,0.297,0.862,3.87265931664836e-145
"Cenpb",4.00022799368345e-149,-2.25602190221854,0.101,0.616,8.31607397606853e-145
"Wwc2",1.47961137248935e-148,-2.65299236525577,0.089,0.589,3.07596408226812e-144
"Czib",1.59748559434722e-148,-10.370276173533,0,0.334,3.32101280208844e-144
"Hpf1",1.59748830122631e-148,-10.3648429320189,0,0.334,3.32101842941937e-144
"Ro60",9.08020978337965e-148,-10.4131183990851,0,0.332,1.8876848118668e-143
"Gbp7",1.0733718123331e-146,-2.56898106101264,0.181,0.704,2.23143266065928e-142
"Fdx2",2.92153098898427e-146,-10.4121893106319,0,0.329,6.0735707729994e-142
"Ciao2a",2.92153592724432e-146,-10.4093669682259,0,0.329,6.07358103914821e-142
"Psme1",7.55056437620592e-146,-2.11512041269621,0.302,0.832,1.56968682816945e-141
"Isg15",1.31302734311063e-145,-3.31545611713429,0.379,0.821,2.7296525435927e-141
"Fau",1.40346793561219e-145,-1.03406531658041,0.835,0.998,2.91766949134418e-141
"Castor1",1.6537409901272e-145,-10.4203581013337,0,0.328,3.43796214437543e-141
"Gbp4",3.93958053967042e-145,-3.20739581125568,0.071,0.527,8.18999398392084e-141
"H2-Q4",1.19943298197169e-144,-2.7532232569792,0.066,0.525,2.49350122622095e-140
"Rsad2",3.02833138999698e-144,-3.37530022661333,0.085,0.551,6.29559812666473e-140
"Nsd3",5.2769209439583e-144,-10.4533492648087,0,0.324,1.09701909503949e-139
"Dbp",4.79579591951393e-143,-2.47717549156327,0.066,0.527,9.96998013707752e-139
"Ube2j2",7.09713096907444e-143,-7.21420650288112,0.002,0.329,1.47542255716088e-138
"Mbp",7.34037843258136e-143,-2.06317461732208,0.317,0.866,1.52599127234934e-138
"Zfp366",2.88156875859008e-141,-5.06227620955621,0.006,0.347,5.99049329223292e-137
"Gnai2",8.7514682945642e-141,-1.30891389827614,0.648,0.97,1.81934274375695e-136
"Parp14",1.00365934964698e-140,-3.48087520303696,0.037,0.44,2.08650742198111e-136
"Naxd",2.96273609553812e-140,-10.2554704028671,0,0.316,6.1592320690142e-136
"Smim26",2.96274272914418e-140,-10.2335530618853,0,0.316,6.15924585961783e-136
"Acer2",7.63865812179561e-140,-2.75155893446636,0.052,0.489,1.58800063694009e-135
"Gm11808",2.88675665728731e-137,-10.314004439096,0,0.31,6.00127841483458e-133
"Fmc1",8.93722060703255e-136,-10.2437407861779,0,0.307,1.857958791996e-131
"Rps18",1.86944802075221e-135,1.65141201660381,0.887,0.903,3.88639549034178e-131
"Oasl1",4.37910275166405e-134,-5.38188987606616,0.007,0.332,9.10371671043439e-130
"BC005537",4.91119062123859e-134,-3.58930643634981,0.013,0.361,1.02098741824929e-129
"Eef1b2",4.94670655555495e-134,-1.58458959041778,0.367,0.892,1.02837082583432e-129
"Gbp2",5.17129048646312e-134,-2.66474926062358,0.114,0.592,1.07505957923082e-129
"Gm26532",1.52385797644841e-133,-10.3808601024479,0,0.302,3.1679483472386e-129
"Fus",6.13967145216059e-133,-1.70489370876258,0.2,0.753,1.27637629818967e-128
"Usmg5",1.45862748162089e-132,11.3999421981533,0.592,0,3.03234067154168e-128
"Ndfip1",3.46184237825951e-132,-1.70832648475887,0.21,0.767,7.19682412016369e-128
"Mcl1",2.46330882632921e-131,-1.82973976149411,0.225,0.767,5.12097271905579e-127
"Rpl5",1.40143355063066e-130,-1.25839125761833,0.522,0.96,2.91344020840609e-126
"Rab21",3.33614621803939e-130,-3.02064330904666,0.049,0.449,6.9355143726821e-126
"Itm2a",6.15021825741212e-130,1.63824161930537,0.903,0.945,1.27856887353341e-125
"H2-Q6",7.77492984451904e-130,-10.6230376706093,0,0.294,1.61633016537706e-125
"Dynll1",7.70368327942689e-129,1.14546148052925,0.941,0.97,1.60151871696006e-124
"Gsta4",1.22298421978652e-128,4.24402650520706,0.699,0.234,2.5424618945142e-124
"Sap30l",3.75355114041922e-128,-2.86300856731712,0.044,0.441,7.80325746581751e-124
"Snhg1",2.14710990223282e-127,-3.04265661514891,0.057,0.468,4.46362677575181e-123
"Prdx1",4.14594380682597e-127,1.48162441144246,0.898,0.892,8.6190025800105e-123
"Cebpd",3.97339708555033e-126,-2.57037985729567,0.186,0.671,8.26029520115059e-122
"Rapgef5",5.47271164864997e-126,-3.62818838438832,0.024,0.375,1.13772202463784e-121
"2010107E04Rik",1.22648577918334e-123,11.2464886870776,0.565,0,2.54974128634424e-119
"Oga",3.36988387107772e-123,-10.1482907481149,0,0.28,7.00565157958347e-119
"Tasor",1.82862724061466e-122,-10.2454747924158,0,0.278,3.80153317051382e-118
"Gbp5",3.62432537644998e-122,-3.52369822098078,0.042,0.415,7.53461002510186e-118
"Hist1h1c",4.72226332075817e-122,-5.98550492071011,0.006,0.304,9.81711321752416e-118
"Ier5l",8.12454728123733e-122,-4.33120579250213,0.013,0.331,1.68901213429643e-117
"Rpl22",2.25009696420587e-121,-1.24952979333578,0.546,0.959,4.67772657888759e-117
"Ilrun",5.36285402101826e-121,-10.1817660785364,0,0.275,1.11488372242949e-116
"BC004004",2.28312017089021e-120,-1.80484932899928,0.15,0.639,4.74637852326366e-116
"Resf1",1.56436750643566e-119,-10.182019884845,0,0.272,3.25216360912909e-115
"Egfl7",3.19383071952777e-119,-1.39469096198468,0.761,0.967,6.63965468282627e-115
"9430020K01Rik",4.68701785733272e-119,11.3232145983533,0.55,0,9.74384142360899e-115
"Samhd1",5.0222388325301e-119,-2.4448575810391,0.106,0.551,1.04407323089468e-114
"Dmac1",8.43215054949662e-119,-10.1056713153312,0,0.271,1.75295977773485e-114
"Gm26917",8.43215054949662e-119,-10.3477725351733,0,0.271,1.75295977773485e-114
"Mesd",4.53897044584851e-118,-10.0906004837136,0,0.269,9.43606565987447e-114
"Mob1a",1.85150358921902e-117,-5.94483386682875,0.003,0.282,3.84909081162742e-113
"Babam2",2.44004467127217e-117,-9.97991015843184,0,0.267,5.07260886710772e-113
"Fth1",2.44817232213649e-117,-0.8631009166893,0.927,1,5.08950544048955e-113
"Ccn1",1.30996074393028e-116,-10.8866333163294,0,0.266,2.72327739055665e-112
"Rps15a",1.56474978833304e-115,-0.993558606896293,0.74,0.984,3.25295833496556e-111
"4632427E13Rik",2.55894927999256e-115,-5.40587753684726,0.006,0.288,5.31979965817654e-111
"Ube2m",3.94664356135769e-115,-2.09648340897507,0.106,0.552,8.20467729970651e-111
"Klf7",7.97965400523507e-115,-1.88980656162972,0.156,0.634,1.65889027114832e-110
"Tra2a",8.60707652479146e-115,-2.09501967638091,0.104,0.543,1.7893251387389e-110
"Rpl8",4.1738118035447e-114,-0.937839887873663,0.766,0.987,8.67693735838908e-110
"Kdr",4.44697947743355e-113,-1.7531832360647,0.337,0.816,9.2448256356366e-109
"Stat2",1.20616437799547e-112,-2.83737561183144,0.037,0.384,2.50749512541478e-108
"mt-Nd6",3.04992721805308e-112,-10.1598424741756,0,0.256,6.34049369361055e-108
"Malat1",3.84763042226812e-112,1.16019159539453,0.987,0.984,7.9988388848532e-108
"Hspa8",9.28580667093701e-112,1.16595154447717,0.928,0.956,1.93042634882109e-107
"Ufd1",1.62222584579801e-111,-9.96083786798895,0,0.255,3.37244531082949e-107
"Atf4",1.91518534322929e-111,-1.91618744891238,0.15,0.614,3.98147881003937e-107
"Ppp1r2,Ppp1r2-ps3",3.80708918497879e-111,11.0805333081198,0.524,0,7.9145577066524e-107
"Snhg12",4.42678665783582e-111,-3.35170208752841,0.028,0.354,9.2028467829749e-107
"Tceb1",1.68396262293118e-110,10.9741109771916,0.522,0,3.50078989681162e-106
"Pold4",1.91173320560503e-110,-7.17678658538843,0.002,0.259,3.9743021611323e-106
"Mast4",2.28493004982012e-110,-2.22856083838419,0.087,0.502,4.75014108057105e-106
"Paxx",4.57121373709682e-110,-9.81997465375056,0,0.252,9.50309623805059e-106
"Tut4",2.4217583745424e-109,-9.85195539186982,0,0.25,5.0345934848362e-105
"Maco1",2.42175968457786e-109,-9.89198561029537,0,0.25,5.03459620826892e-105
"Rpl18",1.56327562877146e-108,-0.9482957900736,0.74,0.981,3.24989370465298e-104
"Hras",2.03616383542091e-108,-1.70991677448444,0.132,0.593,4.23298099745654e-104
"Mecom",4.43132930008335e-108,-1.87562202246547,0.093,0.516,9.21229048194328e-104
"Pim3",1.1644261341497e-107,-1.97080813480068,0.122,0.563,2.42072549028381e-103
"Trim30a",1.23888614833533e-107,-2.48919271174893,0.11,0.521,2.57552041377432e-103
"Ramp2",3.34189954519518e-107,-1.17519005092703,0.685,0.946,6.94747496450625e-103
"Hnrnpa2b1",6.12591346994961e-107,-1.35813903049083,0.296,0.805,1.27351615126782e-102
"Selm",7.03852298375914e-106,10.9974785843623,0.506,0,1.46323854309369e-101
"Ptpa",9.90936467806001e-106,-9.90137906175507,0,0.242,2.06005782292189e-101
"Dop1a",9.90936467806001e-106,-9.92941018680892,0,0.242,2.06005782292189e-101
"AY036118",9.90936467806001e-106,-10.4828328023376,0,0.242,2.06005782292189e-101
"AC149090.1",5.20854033908601e-105,-9.94959706264138,0,0.241,1.08280345109259e-100
"Znfx1",5.89503524840446e-105,-3.23681650743719,0.044,0.38,1.2255188777908e-100
"Ifitm3",7.5572229335536e-105,-2.10228682145515,0.842,0.992,1.57107107565646e-100
"AW112010",9.87858050653399e-105,-1.63007664239401,0.383,0.84,2.05365810150335e-100
"Gm694",1.26990374042042e-104,11.0808343155026,0.502,0,2.64000288596001e-100
"Gon4l",2.73411651111958e-104,-9.68011509346534,0,0.239,5.68395481496649e-100
"Eif3j1",1.43334044549039e-103,-9.82137079971158,0,0.237,2.97977145212997e-99
"Dipk1a",1.43334044549039e-103,-9.96569061251052,0,0.237,2.97977145212997e-99
"Hnrnpd",1.6343188569708e-103,-1.81211970054607,0.119,0.549,3.3975854717566e-99
"Tubb4b",3.0925650981388e-103,-1.58123413640702,0.254,0.737,6.42913358252075e-99
"Ifit1",5.12980853838398e-103,-2.32044803981701,0.223,0.652,1.06643589704465e-98
"Jag2",8.18535519443178e-103,-2.43236335850994,0.048,0.392,1.70165349137042e-98
"Plcg1",2.73960531257771e-102,-5.33274728002116,0.004,0.252,5.6953654843178e-98
"Selenoh",3.92382190442236e-102,-9.8020100550029,0,0.234,8.15723335710364e-98
"Cfap298",3.92382190442236e-102,-9.70820119666276,0,0.234,8.15723335710364e-98
"Gas5",1.274942854662e-101,-1.42548691773819,0.37,0.845,2.65047870055683e-97
"Myl12a",1.0120568970955e-100,1.32019257712022,0.897,0.897,2.10396508337184e-96
"Stxbp3",1.0685646697095e-100,-9.74354851637993,0,0.231,2.22143909185907e-96
"Dgkh",1.17661196497805e-100,-4.42338205791365,0.005,0.255,2.44605861399286e-96
"Far2",1.54602220518138e-100,-4.02843562559892,0.01,0.274,3.21402556235158e-96
"Fzd4",2.74524037391262e-100,-2.76543598078377,0.041,0.369,5.70708021332694e-96
"Prxl2c",5.56541022823549e-100,-9.6357080067415,0,0.229,1.15699313234788e-95
